OPO,Tier,States,Waitlist,Donors,Organs,CEO,Board,Notes
Legacy of Hope - Alabama,3 Failing,AL,1198,26,75,"Christopher Meeks
N/A",N/A,OPO executives sentenced to [Federal prison](https://archives.fbi.gov/archives/birmingham/press-releases/2012/former-alabama-organ-center-executive-sentenced-for-fraud) in 2012 for fraud; included in [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)
Arkansas Regional Organ Recovery Agency,3 Failing,AR,243,22,56,"Alan Cochran
$251,689",No,
Donor Network of Arizona,1 Passing,AZ,1613,-,-,"Timothy Brown
$630,942",Yes,[OIG](https://oig.hhs.gov/oas/reports/region9/91102035.pdf) found the OPO overstating organ procurement costs and not reporting proceeds from the sale of research organs. 2019 CEO compensation increased by 17.6% from 2018.
OneLegacy,3 Failing,CA - Los Angeles,21126,133,202,"Tom Mone
$972,505",Yes,"[OIG](https://oig.hhs.gov/oas/reports/region9/91102035.pdf) found wasteful spending; OPO also subject of 2019 LA Times investigation into tissue processing business; Board Chair paid $100,000 annually; included in [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)"
Sierra Donor Services,2 Underperforming,CA - North Central,21126,11,7,"Sean Van Slyck
N/A",N/A,Included in  [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)
Donor Network West,2 Underperforming,"CA - Northern
NV - Northern","CA - 21,126
NV - 181",12,-,"Janice Whaley
$532,136",No,"New CEO led [major improvements](https://www.bridgespan.org/bridgespan/Images/articles/transforming-organ-donation-in-america/transforming-organ-donation-in-america-dec2020-update.pdf) following leadership change, increasing donations by nearly 30%."
LifeSharing - A Donate Life Organization,1 Passing,"CA - Imperial, San Diego",21126,-,-,"Lisa Stocks
N/A",N/A,
Donor Alliance,3 Failing,"CO
WY","CO - 1,600
WY - N/A
(WY does not have transplant centers, so patients listed in other states)",-,81,"Susan Dunn*
$653,534",No,
LifeChoice Donor Services,2 Underperforming,"CT
MA - Franklin, Hampden, Hampshire Counties","CT - 1,202
MA - 4,617",-,4,"Alexandra Glazier
$554,529",No,Included in  [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)
New England Organ Bank,1 Passing,"CT
MA
ME
NH
RI
VT","CT - 1,202
MA - 4,617
ME - 193
NH - 105
RI - 273
VT - 53",-,-,"Alexandra Glazier
$554,529",No,Bought [private jet]( https://4kx391lh5z1qexgd32brx810-wpengine.netdna-ssl.com/wp-content/uploads/2018/08/Essex_case_study_NEDS.pdf) in 2018; included in  [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)
Washington Regional Transplant Community,1 Passing,"DC
MD
VA","DC - 1,553
MD - 2,766
VA - 2,473",-,-,"Lori Brigham
$533,289",No,
OurLegacy,1 Passing,FL - Eastern,4962,-,-,"Ginny McBride
N/A",N/A,[CEO published support](https://morningconsult.com/opinions/organ-donation-can-save-more-lives-through-reform/) for new OPO rule
LifeQuest Organ Recovery Services,3 Failing,FL - Northern,4962,24,134,"Danielle Balbis
N/A",N/A,
Life Alliance Organ Recovery Agency,3 Failing,FL - Southern,4962,71,211,"Sam Salama
N/A",N/A,Subject of investigative reporting for quality control issues and workplace violence (see Washington Post and Miami Herald); included in  [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)
Lifelink of Florida,1 Passing,FL - West,4962,-,-,"Jean A. Davis
N/A",Yes,"Parent company LifeLink Foundation has $117M in assets, paid Board Chair $750,000 in 2017; subject of [investigative reporting](https://archive.triblive.com/local/pittsburgh-allegheny/gift-of-life-worth-millions-to-donation-organizations/) ; included in  [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)"
Lifelink of Georgia,2 Underperforming,"GA
SC - Catoosa, Dade, and Walker Counties","GA - 4,213
SC - 1,369",6,75,"Dustin Diggs
N/A",Yes,"Parent company LifeLink Foundation has $117M in assets, paid Board Chair $750,000 in 2017; subject of [investigative reporting](https://archive.triblive.com/local/pittsburgh-allegheny/gift-of-life-worth-millions-to-donation-organizations/) ; included in  [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)"
Legacy of Life,3 Failing,HI,364,3,35,"Stephen Kula*
$142,729",No,
Iowa Donor Network,3 Failing,"IA
NE - Dakota County","IA - 585
NE - 309",15,32,"Suzanne Conrad
$390,024",No,"[Owns $8M](https://projects.propublica.org/nonprofits/organizations/421414092/202011199349301261/full) ""interest in net assets"" of tissue processor Allosource"
Gift of Hope Organ & Tissue Donor Network,1 Passing,"IL
IN - Northwest","IL - 3,881
IN - 1,021",-,-,"Kevin Cmunt*
$690,692",No,"""Investment in affiliate"" worth [$24M](https://projects.propublica.org/nonprofits/display_990/363516431/12_2019_prefixes_35-38%2F363516431_201812_990_2019121116944630)"
Indiana Donor Network,3 Failing,IN,1021,54,236,"Kellie Hanner
$517,315",No,"Started private jet business [TxJet](https://txjet.org/) in 2014; currently subject of [Senate oversight]https://www.finance.senate.gov/imo/media/doc/2020-02-10%20Grassley,%20Wyden,%20Young,%20Cardin%20to%20UNOS%20(Information%20Request%20on%20Organ%20Transplant%20System).pdf) inquiry ; included in [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and )"
Midwest Transplant Network,1 Passing,"KS
MO - Western","KS - 412
MO - 1,662",-,-,"Jan Finn
$523,111",Yes,
Kentucky Organ Donor Affiliates,3 Failing,"KY
IN - Southern
WV - Western","KY - 938
IN - 1,021
WV - 116",54,184,"Julie Bergin
$316,970",No,Included in  [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)
Louisiana Organ Procurement Agency,2 Underperforming,LA,1976,-,23,"Kelly Ranum
$344,184",No,
The Living Legacy Foundation of Maryland,1 Passing,MD,2766,-,-,"Charles Alexander
$622,940",No,
Gift of Life Michigan,1 Passing,MI,2534,-,-,"Ladora Dils
$478,350",Yes,"Built [$14.3M](https://www.giftoflifemichigan.org/news-calendar/latest-news/gift-life-begins-recovering-organs-and-tissue-new-ann-arbor-surgical) , 40,000 foot surgical center in 2016"
Lifesource - MN,2 Underperforming,"MN
ND
SD
WI - Western","MN - 2,590
ND - 144
SD - 338
WI - 1,588",12,71,"Susan Raether
$636,323",No,Included in [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)
Mid-America Transplant Services,1 Passing,"MO - Eastern
AR - Northeast
IL - Southern","MO -1,662
AR - 243
IL - 3,881",-,-,"Diane Brockmeier
$574,635",Yes,[CEO published support](https://morningconsult.com/opinions/organ-donation-can-save-more-lives-through-reform/) for new OPO rule; $25 million investment in tissue processor Allosource
Mississippi Organ Recovery Agency,3 Failing,MS,901,15,44,"Kevin Stump
$294,459",Yes,
Carolina Donor Services,3 Failing,NC - Eastern and Central,3222,69,173,"Danielle Niedfelt
$333,572",No,
LifeShare of the Carolinas,1 Passing,"NC - Southwestern and Western
SC - York County","NC - 3,222
SC - 1,369",-,-,"Michael Daniels
N/A",N/A,
Nebraska Organ Recovery,1 Passing,NE,309,-,-,"Kyle Herber
$250,379",No,
New Jersey Sharing Network,2 Underperforming,NJ - Northern and Central,2574,26,15,"Joseph Roth
$565,713",No,Investigative reporting re. “A [lobbyist for the OPO](https://www.pogo.org/investigation/2021/04/americas-transformative-new-organ-donation-rule-goes-into-effect-over-objections-from-monopolistic-contractors/) created a website that questions the motives of philanthropist and patient organizations that have supported reforms”
New Mexico Donor Services,3 Failing,NM,522,6,51,"Wayne Dunlap
N/A",N/A,Included in  [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)
Nevada Donor Network,1 Passing,NV,181,-,-,"Joseph Ferreira
$474,982",No,Has $1.8M investment in [related tissue processor](https://www.nevadabusiness.com/2018/11/nevadas-first-tissue-processing-facility-brings-opportunity-of-hope-and-healing-to-more-nevadans/)
Center for Donation and Transplant,3 Failing,"NY - Eastern
MA - Berkshire County
VT","NY - 8,700
MA - 4,617
VT - 53",14,18,"James Barba*+
$1,936,866",Yes,
Finger Lakes Donor Recovery Network,3 Failing,NY - Central,8700,12,47,"Robert Gruenenfelder
N/A",N/A,
LiveOnNY,3 Failing,NY - Southern (NYC),8700,68,-,"Helen Irving
$768,024",No,[Board Chair published support](https://58425eca-649a-42d4-b265-d1e1743b6c48.filesusr.com/ugd/581bc3_ad2bfdb091974d62bc52596e06f8d848.pdf) for new OPO rule
ConnectLife,2 Underperforming,NY - Western,8700,-,7,"Mark Simon
$428,864",No,Owns $11M stake in tissue processor Allosource
LifeLine of Ohio,2 Underperforming,"OH - Central
WV - Wood and Hancock Counties","OH - 3,056
WV - 116",8,47,"Kent Holloway
$308,995",No,[Investigative reporting](https://archive.triblive.com/local/pittsburgh-allegheny/taxpayers-help-pay-for-organ-donor-groups-parties-rose-parade-expenses/) found board members billing taxpayers for private planes
LifeBanc,1 Passing,OH - Northeast,3056,-,-,"Gordon Bowen
$538,849",No,
Life Connection of Ohio,3 Failing,OH - Northwest,3056,2,50,"Ron Apswich*
$276,372",Yes,"[CEO supportive](https://blog.petrieflom.law.harvard.edu/2021/02/05/recent-organ-procurement-organization-regulations-will-save-lives/) of reform, [led 34% growth in donors in one year](https://www.bridgespan.org/bridgespan/Images/articles/transforming-organ-donation-in-america/transforming-organ-donation-in-america-dec2020-update.pdf) when he took over as leader"
LifeCenter Organ Donor Network,3 Failing,"OH - Southwest
KY - Northern
IN - Southeast","OH - 3,056
KY - 938
IN - 1,021",-,60,"Barry Massa
$310,044",No,
Lifeshare of Oklahoma,1 Passing,OK,599,-,-,"Jeffrey Orlowski
$462,721",No,
Pacific NW Transplant Bank,2 Underperforming,"OR
ID - Western
WA - Southwest","OR - 903
ID - N/A
WA - 1,843",20,36,"Craig Van De Walker
N/A",N/A,
Gift of Life,1 Passing,"PA - Eastern
DE
NJ - Southern","PA - 6,817
DE - 176
NJ - 2,574",-,-,"Howard Nathan
$752,777",No,2017 CEO compensation [2.5M](https://porter.house.gov/uploadedfiles/cms_hhs_opo_oversight_final_7.9.20.pdf)
Center for Organ Recovery and Education,2 Underperforming,"PA - Western
NY - Chemung County
WV","PA - 6,817
NY - 8,700
WV - 116",12,-,"Susan Stuart
$542,245",No,
Lifelink of Puerto Rico,1 Passing,PR,305,-,-,"Guillermina Sanchez
N/A",Yes,"Parent company LifeLink Foundation has $117M in assets, paid Board Chair $750,000 in 2017; subject of
[investigative reporting](https://archive.triblive.com/local/pittsburgh-allegheny/gift-of-life-worth-millions-to-donation-organizations/) ; included in [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)"
Sharing Hope SC,3 Failing,SC,1369,6,120,"David DeStefano
$290,965",No,Included in [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and) ; investigative reporting found fatal lapses in patient safety
Tennessee Donor Services,2 Underperforming,"TN - Central and Eastern
GA - Northern
KY - Christian County
VA - Southwest","TN - 3,090
GA - 4,213
KY - 938
VA - 2,473",4,2,"Jill Grandas
$318,193",Yes,Included in [House Committee on Oversight and Reform investigation](https://oversight.house.gov/news/press-releases/oversight-subcommittee-launches-investigation-into-poor-performance-waste-and)
Mid-South Transplant Foundation,3 Failing,"TN - Western
AR - Eastern
MS - Northern","TN - 3,090
AR - 243
MS - 901",28,149,"Kim Van Frank
$310,513",Yes,
Southwest Transplant Alliance,1 Passing,TX,9890,-,-,"Patricia Niles
$705,285",No,[CEO published support](https://www.dallasnews.com/opinion/commentary/2021/02/12/the-us-organ-donation-system-needs-transparency-and-accountability/) of new OPO rule
LifeGift Organ Donation Center,1 Passing,TX - Northern and Southeast,9890,-,-,"Kevin Myer
$478,522",No,
