abbreviation,name,waitlist,monthly
AK,Alaska,,
AL,Alabama,1209,13
AR,Arkansas,357,3
AZ,Arizona,2054,16
CA,California,19949,169
CO,Colorado,1319,18
CT,Connecticut,1080,10
DC,District of Columbia,1306,12
DE,Delaware,142,1
FL,Florida,5589,48
GA,Georgia,2876,41
HI,Hawaii,279,3
IA,Iowa,579,4
ID,Idaho,,
IL,Illinois,4154,28
IN,Indiana,1339,11
KS,Kansas,506,3
KY,Kentucky,1051,11
LA,Louisiana,1828,17
MA,Massachusetts,3929,37
MD,Maryland,2073,23
ME,Maine,257,1
MI,Michigan,2596,22
MN,Minnesota,2204,21
MO,Missouri,2008,16
MS,Mississippi,460,9
MT,Montana,,
NC,North Carolina,3937,25
ND,North Dakota,100,1
NE,Nebraska,431,4
NH,New Hampshire,250,1
NJ,New Jersey,2400,20
NM,New Mexico,420,5
NV,Nevada,338,2
NY,New York,7962,69
OH,Ohio,2752,27
OK,Oklahoma,779,5
OR,Oregon,1004,7
PA,Pennsylvania,5988,63
PR,Puerto Rico,447,2
RI,Rhode Island,351,2
SC,South Carolina,1793,12
SD,South Dakota,410,4
TN,Tennessee,2793,37
TX,Texas,10767,111
UT,Utah,989,5
VA,Virginia,3106,18
VT,Vermont,4,1
WA,Washington,1495,12
WI,Wisconsin,1431,15
WV,West Virginia,160,2
WY,Wyoming,,
